,Entity,Code,Year,Production,continent,id
0,Angola,24.0,1961,168600.0,Africa,24
12,Angola,24.0,1962,185000.0,Africa,24
24,Angola,24.0,1963,168300.0,Africa,24
36,Angola,24.0,1964,198200.0,Africa,24
48,Angola,24.0,1965,205000.0,Africa,24
60,Angola,24.0,1966,225700.0,Africa,24
72,Angola,24.0,1967,235200.0,Africa,24
84,Angola,24.0,1968,198000.0,Africa,24
96,Angola,24.0,1969,215000.0,Africa,24
108,Angola,24.0,1970,204000.0,Africa,24
120,Angola,24.0,1971,228000.0,Africa,24
132,Angola,24.0,1972,225000.0,Africa,24
144,Angola,24.0,1973,210000.0,Africa,24
156,Angola,24.0,1974,224772.0,Africa,24
168,Angola,24.0,1975,180000.0,Africa,24
180,Angola,24.0,1976,57480.0,Africa,24
192,Angola,24.0,1977,57060.0,Africa,24
204,Angola,24.0,1978,34320.0,Africa,24
216,Angola,24.0,1979,17340.0,Africa,24
228,Angola,24.0,1980,43260.0,Africa,24
240,Angola,24.0,1981,20640.0,Africa,24
252,Angola,24.0,1982,17400.0,Africa,24
264,Angola,24.0,1983,13000.0,Africa,24
276,Angola,24.0,1984,15000.0,Africa,24
288,Angola,24.0,1985,12000.0,Africa,24
300,Angola,24.0,1986,14800.0,Africa,24
312,Angola,24.0,1987,8700.0,Africa,24
324,Angola,24.0,1988,11000.0,Africa,24
336,Angola,24.0,1989,10000.0,Africa,24
348,Angola,24.0,1990,5000.0,Africa,24
360,Angola,24.0,1991,5000.0,Africa,24
372,Angola,24.0,1992,5000.0,Africa,24
384,Angola,24.0,1993,4620.0,Africa,24
396,Angola,24.0,1994,2160.0,Africa,24
408,Angola,24.0,1995,3300.0,Africa,24
420,Angola,24.0,1996,2820.0,Africa,24
432,Angola,24.0,1997,3840.0,Africa,24
444,Angola,24.0,1998,5100.0,Africa,24
456,Angola,24.0,1999,3300.0,Africa,24
468,Angola,24.0,2000,4260.0,Africa,24
480,Angola,24.0,2001,3300.0,Africa,24
492,Angola,24.0,2002,1260.0,Africa,24
504,Angola,24.0,2003,2040.0,Africa,24
516,Angola,24.0,2004,1980.0,Africa,24
528,Angola,24.0,2005,3500.0,Africa,24
540,Angola,24.0,2006,5000.0,Africa,24
552,Angola,24.0,2007,11523.0,Africa,24
564,Angola,24.0,2008,4000.0,Africa,24
576,Angola,24.0,2009,11982.0,Africa,24
588,Angola,24.0,2010,9951.0,Africa,24
600,Angola,24.0,2011,10192.0,Africa,24
612,Angola,24.0,2012,11740.03,Africa,24
624,Angola,24.0,2013,12550.0,Africa,24
636,Angola,24.0,2014,15009.0,Africa,24
648,Angola,24.0,2015,15000.0,Africa,24
660,Angola,24.0,2016,14679.61,Africa,24
672,Angola,24.0,2017,13542.99,Africa,24
684,Angola,24.0,2018,13164.33,Africa,24
696,Angola,24.0,2019,12931.88,Africa,24
708,Angola,24.0,2020,12630.45,Africa,24
720,Angola,24.0,2021,10304.0,Africa,24
739,Belize,84.0,1998,93.0,,84
740,Belize,84.0,1999,70.0,,84
741,Belize,84.0,2000,165.0,,84
742,Belize,84.0,2001,229.0,,84
743,Belize,84.0,2002,227.0,,84
744,Belize,84.0,2003,229.0,,84
745,Belize,84.0,2004,231.0,,84
746,Belize,84.0,2005,54.0,,84
747,Belize,84.0,2006,95.0,,84
748,Belize,84.0,2007,45.0,,84
749,Belize,84.0,2008,90.0,,84
750,Belize,84.0,2009,105.19,,84
751,Belize,84.0,2010,90.46,,84
752,Belize,84.0,2011,90.68,,84
753,Belize,84.0,2012,88.98,,84
754,Belize,84.0,2013,87.27,,84
755,Belize,84.0,2014,87.54,,84
756,Belize,84.0,2015,91.22,,84
757,Belize,84.0,2016,89.13,,84
758,Belize,84.0,2017,89.3,,84
759,Belize,84.0,2018,89.88,,84
760,Belize,84.0,2019,89.44,,84
761,Belize,84.0,2020,89.54,,84
762,Belize,84.0,2021,89.62,,84
763,Benin,204.0,1961,2090.0,Africa,204
775,Benin,204.0,1962,1730.0,Africa,204
787,Benin,204.0,1963,1002.0,Africa,204
799,Benin,204.0,1964,1065.0,Africa,204
811,Benin,204.0,1965,891.0,Africa,204
823,Benin,204.0,1966,1041.0,Africa,204
835,Benin,204.0,1967,1086.0,Africa,204
847,Benin,204.0,1968,511.0,Africa,204
859,Benin,204.0,1969,2268.0,Africa,204
871,Benin,204.0,1970,1940.0,Africa,204
883,Benin,204.0,1971,2229.0,Africa,204
895,Benin,204.0,1972,2724.0,Africa,204
907,Benin,204.0,1973,1341.0,Africa,204
919,Benin,204.0,1974,161.0,Africa,204
931,Benin,204.0,1975,477.0,Africa,204
943,Benin,204.0,1976,599.0,Africa,204
955,Benin,204.0,1977,610.0,Africa,204
967,Benin,204.0,1978,185.0,Africa,204
979,Benin,204.0,1979,31.0,Africa,204
991,Benin,204.0,1980,321.0,Africa,204
1003,Benin,204.0,1981,585.0,Africa,204
1015,Benin,204.0,1982,1629.0,Africa,204
1027,Benin,204.0,1983,1000.0,Africa,204
1039,Benin,204.0,1984,3000.0,Africa,204
1051,Benin,204.0,1985,700.0,Africa,204
1063,Benin,204.0,1986,1100.0,Africa,204
1075,Benin,204.0,1987,1900.0,Africa,204
1087,Benin,204.0,1988,2700.0,Africa,204
1099,Benin,204.0,1989,800.0,Africa,204
1111,Benin,204.0,1990,120.0,Africa,204
1123,Benin,204.0,1991,180.0,Africa,204
1135,Benin,204.0,1992,200.0,Africa,204
1147,Benin,204.0,1993,300.0,Africa,204
1159,Benin,204.0,1994,200.0,Africa,204
1171,Benin,204.0,1995,174.67,Africa,204
1183,Benin,204.0,1996,165.26,Africa,204
1195,Benin,204.0,1997,160.65,Africa,204
1207,Benin,204.0,1998,153.89,Africa,204
1219,Benin,204.0,1999,150.68,Africa,204
1231,Benin,204.0,2000,142.51,Africa,204
1243,Benin,204.0,2001,150.0,Africa,204
1255,Benin,204.0,2002,100.0,Africa,204
1267,Benin,204.0,2003,60.0,Africa,204
1279,Benin,204.0,2004,85.77,Africa,204
1291,Benin,204.0,2005,82.25,Africa,204
1303,Benin,204.0,2006,60.0,Africa,204
1315,Benin,204.0,2007,60.0,Africa,204
1327,Benin,204.0,2008,70.43,Africa,204
